,ecosystem,species,year,biomass,biomass_SE,abundance,abundance_SE,biomass_index,biomass_index_SE,abundance_index,abundance_index_units,abundance_index_SE,avg_len,avg_mass,source,agency,season
14,CB,American_eel_age-1+,2002,,,,,,,0.8,no./5min_tow,,0.3427,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
15,CB,American_eel_age-1+,2003,,,,,,,0.79,no./5min_tow,,0.3191,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
16,CB,American_eel_age-1+,2004,,,,,,,0.43,no./5min_tow,,0.3287,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
17,CB,American_eel_age-1+,2005,,,,,,,0.35,no./5min_tow,,0.3206,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
18,CB,American_eel_age-1+,2006,,,,,,,0.15,no./5min_tow,,0.3294,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
19,CB,American_eel_age-1+,2007,,,,,,,0.22,no./5min_tow,,0.3191,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
20,CB,American_eel_age-1+,2008,,,,,,,0.25,no./5min_tow,,0.3131,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
21,CB,American_eel_age-1+,2009,,,,,,,0.57,no./5min_tow,,0.308,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
22,CB,American_eel_age-1+,2010,,,,,,,0.41,no./5min_tow,,0.3292,,VIMS_Juvenile_Trawl,VIMS,Apr-Jun
23,CB,Atlantic_croaker,1988,,,,,,,0.36,no./5min_tow,,0.1355,,VIMS_Juvenile_Trawl,VIMS,May-Aug
24,CB,Atlantic_croaker,1989,,,,,,,0.65,no./5min_tow,,0.1296,,VIMS_Juvenile_Trawl,VIMS,May-Aug
25,CB,Atlantic_croaker,1990,,,,,,,0.48,no./5min_tow,,0.1462,,VIMS_Juvenile_Trawl,VIMS,May-Aug
26,CB,Atlantic_croaker,1991,,,,,,,4.12,no./5min_tow,,0.1384,,VIMS_Juvenile_Trawl,VIMS,May-Aug
27,CB,Atlantic_croaker,1992,,,,,,,1.17,no./5min_tow,,0.1312,,VIMS_Juvenile_Trawl,VIMS,May-Aug
28,CB,Atlantic_croaker,1993,,,,,,,1.98,no./5min_tow,,0.1251,,VIMS_Juvenile_Trawl,VIMS,May-Aug
29,CB,Atlantic_croaker,1994,,,,,,,0.86,no./5min_tow,,0.1378,,VIMS_Juvenile_Trawl,VIMS,May-Aug
30,CB,Atlantic_croaker,1995,,,,,,,0.95,no./5min_tow,,0.1397,,VIMS_Juvenile_Trawl,VIMS,May-Aug
31,CB,Atlantic_croaker,1996,,,,,,,0.19,no./5min_tow,,0.1341,,VIMS_Juvenile_Trawl,VIMS,May-Aug
32,CB,Atlantic_croaker,1997,,,,,,,1.47,no./5min_tow,,0.1193,,VIMS_Juvenile_Trawl,VIMS,May-Aug
33,CB,Atlantic_croaker,1998,,,,,,,1.19,no./5min_tow,,0.1164,,VIMS_Juvenile_Trawl,VIMS,May-Aug
34,CB,Atlantic_croaker,1999,,,,,,,1.5,no./5min_tow,,0.144,,VIMS_Juvenile_Trawl,VIMS,May-Aug
35,CB,Atlantic_croaker,2000,,,,,,,0.6,no./5min_tow,,0.1431,,VIMS_Juvenile_Trawl,VIMS,May-Aug
36,CB,Atlantic_croaker,2001,,,,,,,0.37,no./5min_tow,,0.1419,,VIMS_Juvenile_Trawl,VIMS,May-Aug
37,CB,Atlantic_croaker,2002,,,,,,,1.59,no./5min_tow,,0.1403,,VIMS_Juvenile_Trawl,VIMS,May-Aug
38,CB,Atlantic_croaker,2003,,,,,,,0.49,no./5min_tow,,0.1593,,VIMS_Juvenile_Trawl,VIMS,May-Aug
39,CB,Atlantic_croaker,2004,,,,,,,0.96,no./5min_tow,,0.1223,,VIMS_Juvenile_Trawl,VIMS,May-Aug
40,CB,Atlantic_croaker,2005,,,,,,,0.47,no./5min_tow,,0.1213,,VIMS_Juvenile_Trawl,VIMS,May-Aug
41,CB,Atlantic_croaker,2006,,,,,,,1.27,no./5min_tow,,0.1264,,VIMS_Juvenile_Trawl,VIMS,May-Aug
42,CB,Atlantic_croaker,2007,,,,,,,1.04,no./5min_tow,,0.1345,,VIMS_Juvenile_Trawl,VIMS,May-Aug
43,CB,Atlantic_croaker,2008,,,,,,,4.1,no./5min_tow,,0.1202,,VIMS_Juvenile_Trawl,VIMS,May-Aug
44,CB,Atlantic_croaker,2009,,,,,,,1.82,no./5min_tow,,0.1189,,VIMS_Juvenile_Trawl,VIMS,May-Aug
45,CB,Atlantic_croaker,2010,,,,,,,2.12,no./5min_tow,,0.1461,,VIMS_Juvenile_Trawl,VIMS,May-Aug
46,CB,Atlantic_croaker,2002,2.2993987153,0.60010281575,,,,,11670.824107,no./km2,2972.3273254,0.25097653959,0.21092549233,ChesMMAP_Survey,VIMS,May-Sep
47,CB,Atlantic_croaker,2003,1.2386667292,0.40339110681,,,,,5301.1030043,no./km2,1730.915564,0.24201215548,0.19775531815,ChesMMAP_Survey,VIMS,May-Sep
48,CB,Atlantic_croaker,2004,4.6259038252,0.94461722284,,,,,18360.3105,no./km2,3785.5474164,0.26245525178,0.26326139609,ChesMMAP_Survey,VIMS,May-Sep
49,CB,Atlantic_croaker,2005,2.9963525892,0.68647643527,,,,,13337.858558,no./km2,2916.9333845,0.25694055965,0.2398441775,ChesMMAP_Survey,VIMS,May-Sep
50,CB,Atlantic_croaker,2006,3.0460449311,0.619074225,,,,,15192.37412,no./km2,2849.4130869,0.25341388369,0.23384237051,ChesMMAP_Survey,VIMS,May-Sep
51,CB,Atlantic_croaker,2007,2.1932498696,0.72596392352,,,,,14723.714269,no./km2,4924.7235674,0.22325134653,0.1461847588,ChesMMAP_Survey,VIMS,May-Sep
52,CB,Atlantic_croaker,2008,0.50091743971,0.13146176689,,,,,4372.2753972,no./km2,1113.5272959,0.21020911364,0.14759706051,ChesMMAP_Survey,VIMS,May-Sep
53,CB,Atlantic_croaker,2009,0.76054498051,0.19295779057,,,,,6016.7050322,no./km2,1552.6349273,0.20365658333,0.109494315,ChesMMAP_Survey,VIMS,May-Sep
54,CB,Atlantic_croaker,2010,0.28253553736,0.084998013194,,,,,2306.9031976,no./km2,617.56552528,0.2029870709,0.11569527309,ChesMMAP_Survey,VIMS,May-Sep
55,CB,Atlantic_sharpnose_shark,1976,,,,,,,0.01286,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
56,CB,Atlantic_sharpnose_shark,1977,,,,,,,0.39926,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
57,CB,Atlantic_sharpnose_shark,1980,,,,,,,1.22771,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
58,CB,Atlantic_sharpnose_shark,1981,,,,,,,1.31375,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
59,CB,Atlantic_sharpnose_shark,1983,,,,,,,1.10482,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
60,CB,Atlantic_sharpnose_shark,1987,,,,,,,1.81038,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
61,CB,Atlantic_sharpnose_shark,1988,,,,,,,0.62607,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
62,CB,Atlantic_sharpnose_shark,1989,,,,,,,0.33563,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
63,CB,Atlantic_sharpnose_shark,1990,,,,,,,0.96004,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
64,CB,Atlantic_sharpnose_shark,1991,,,,,,,1.11643,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
65,CB,Atlantic_sharpnose_shark,1992,,,,,,,0.87916,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
66,CB,Atlantic_sharpnose_shark,1993,,,,,,,1.1188,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
67,CB,Atlantic_sharpnose_shark,1995,,,,,,,0.96321,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
68,CB,Atlantic_sharpnose_shark,1996,,,,,,,1.13564,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
69,CB,Atlantic_sharpnose_shark,1997,,,,,,,0.7266,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
70,CB,Atlantic_sharpnose_shark,1998,,,,,,,1.15191,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
71,CB,Atlantic_sharpnose_shark,1999,,,,,,,2.14877,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
72,CB,Atlantic_sharpnose_shark,2000,,,,,,,0.41025,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
73,CB,Atlantic_sharpnose_shark,2001,,,,,,,0.90474,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
74,CB,Atlantic_sharpnose_shark,2002,,,,,,,0.65631,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
75,CB,Atlantic_sharpnose_shark,2003,,,,,,,0.55219,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
76,CB,Atlantic_sharpnose_shark,2004,,,,,,,0.65026,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
77,CB,Atlantic_sharpnose_shark,2005,,,,,,,2.7952,no._/_100_hooks/_hr_normalized,,,,VIMS_Longline_Survey,VIMS,Jun-Sep
78,CB,Bay_anchovy_YOY,1988,,,,,,,18.25,no./5min_tow,,0.046,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
79,CB,Bay_anchovy_YOY,1989,,,,,,,52.47,no./5min_tow,,0.044,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
80,CB,Bay_anchovy_YOY,1990,,,,,,,6.79,no./5min_tow,,0.0468,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
81,CB,Bay_anchovy_YOY,1991,,,,,,,22.51,no./5min_tow,,0.0451,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
82,CB,Bay_anchovy_YOY,1992,,,,,,,40.14,no./5min_tow,,0.0474,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
83,CB,Bay_anchovy_YOY,1993,,,,,,,43.31,no./5min_tow,,0.046,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
84,CB,Bay_anchovy_YOY,1994,,,,,,,14.67,no./5min_tow,,0.0467,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
85,CB,Bay_anchovy_YOY,1995,,,,,,,18.36,no./5min_tow,,0.0476,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
86,CB,Bay_anchovy_YOY,1996,,,,,,,15.31,no./5min_tow,,0.0452,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
87,CB,Bay_anchovy_YOY,1997,,,,,,,18.96,no./5min_tow,,0.0453,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
88,CB,Bay_anchovy_YOY,1998,,,,,,,30.26,no./5min_tow,,0.047,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
89,CB,Bay_anchovy_YOY,1999,,,,,,,15.47,no./5min_tow,,0.0455,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
90,CB,Bay_anchovy_YOY,2000,,,,,,,36.58,no./5min_tow,,0.0431,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
91,CB,Bay_anchovy_YOY,2001,,,,,,,9.55,no./5min_tow,,0.0466,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
92,CB,Bay_anchovy_YOY,2002,,,,,,,5.51,no./5min_tow,,0.0475,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
93,CB,Bay_anchovy_YOY,2003,,,,,,,18.03,no./5min_tow,,0.0477,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
94,CB,Bay_anchovy_YOY,2004,,,,,,,23.06,no./5min_tow,,0.0461,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
95,CB,Bay_anchovy_YOY,2005,,,,,,,22.27,no./5min_tow,,0.0484,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
96,CB,Bay_anchovy_YOY,2006,,,,,,,19.31,no./5min_tow,,0.0461,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
97,CB,Bay_anchovy_YOY,2007,,,,,,,23.76,no./5min_tow,,0.0468,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
98,CB,Bay_anchovy_YOY,2008,,,,,,,50.29,no./5min_tow,,0.0436,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
99,CB,Bay_anchovy_YOY,2009,,,,,,,30.12,no./5min_tow,,0.048,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
100,CB,Bay_anchovy_YOY,2010,,,,,,,84.92,no./5min_tow,,0.0463,,VIMS_Juvenile_Trawl,VIMS,Jul-Dec
101,CB,Black_sea_bass_YOY,1988,,,,,,,0.84,no./5min_tow,,0.0902,,VIMS_Juvenile_Trawl,VIMS,May-Jul
102,CB,Black_sea_bass_YOY,1989,,,,,,,2.36,no./5min_tow,,0.099,,VIMS_Juvenile_Trawl,VIMS,May-Jul
103,CB,Black_sea_bass_YOY,1990,,,,,,,1.12,no./5min_tow,,0.0935,,VIMS_Juvenile_Trawl,VIMS,May-Jul
104,CB,Black_sea_bass_YOY,1991,,,,,,,1.28,no./5min_tow,,0.0926,,VIMS_Juvenile_Trawl,VIMS,May-Jul
105,CB,Black_sea_bass_YOY,1992,,,,,,,0.22,no./5min_tow,,0.0947,,VIMS_Juvenile_Trawl,VIMS,May-Jul
106,CB,Black_sea_bass_YOY,1993,,,,,,,1.05,no./5min_tow,,0.0859,,VIMS_Juvenile_Trawl,VIMS,May-Jul
107,CB,Black_sea_bass_YOY,1994,,,,,,,1.06,no./5min_tow,,0.0982,,VIMS_Juvenile_Trawl,VIMS,May-Jul
108,CB,Black_sea_bass_YOY,1995,,,,,,,0.5,no./5min_tow,,0.1045,,VIMS_Juvenile_Trawl,VIMS,May-Jul
109,CB,Black_sea_bass_YOY,1996,,,,,,,0.36,no./5min_tow,,0.0962,,VIMS_Juvenile_Trawl,VIMS,May-Jul
110,CB,Black_sea_bass_YOY,1997,,,,,,,0.46,no./5min_tow,,0.0942,,VIMS_Juvenile_Trawl,VIMS,May-Jul
111,CB,Black_sea_bass_YOY,1998,,,,,,,0.57,no./5min_tow,,0.0909,,VIMS_Juvenile_Trawl,VIMS,May-Jul
112,CB,Black_sea_bass_YOY,1999,,,,,,,0.58,no./5min_tow,,0.1002,,VIMS_Juvenile_Trawl,VIMS,May-Jul
113,CB,Black_sea_bass_YOY,2000,,,,,,,0.74,no./5min_tow,,0.0931,,VIMS_Juvenile_Trawl,VIMS,May-Jul
114,CB,Black_sea_bass_YOY,2001,,,,,,,1.29,no./5min_tow,,0.1016,,VIMS_Juvenile_Trawl,VIMS,May-Jul
115,CB,Black_sea_bass_YOY,2002,,,,,,,0.64,no./5min_tow,,0.0893,,VIMS_Juvenile_Trawl,VIMS,May-Jul
116,CB,Black_sea_bass_YOY,2003,,,,,,,0.12,no./5min_tow,,0.1022,,VIMS_Juvenile_Trawl,VIMS,May-Jul
117,CB,Black_sea_bass_YOY,2004,,,,,,,0.06,no./5min_tow,,0.077,,VIMS_Juvenile_Trawl,VIMS,May-Jul
118,CB,Black_sea_bass_YOY,2005,,,,,,,0.19,no./5min_tow,,0.0916,,VIMS_Juvenile_Trawl,VIMS,May-Jul
119,CB,Black_sea_bass_YOY,2006,,,,,,,0.44,no./5min_tow,,0.0949,,VIMS_Juvenile_Trawl,VIMS,May-Jul
120,CB,Black_sea_bass_YOY,2007,,,,,,,0.83,no./5min_tow,,0.098,,VIMS_Juvenile_Trawl,VIMS,May-Jul
121,CB,Black_sea_bass_YOY,2008,,,,,,,0.41,no./5min_tow,,0.088,,VIMS_Juvenile_Trawl,VIMS,May-Jul
122,CB,Black_sea_bass_YOY,2009,,,,,,,0.32,no./5min_tow,,0.1073,,VIMS_Juvenile_Trawl,VIMS,May-Jul
123,CB,Black_seabass,2002,0.0018255664757,0.000588505208,,,,,20.152753133,no./km2,5.8098431242,0.16796969697,0.087696969697,ChesMMAP_Survey,VIMS,Jul-Nov
124,CB,Black_seabass,2003,0.00058295149479,0.00019673272866,,,,,14.11597484,no./km2,3.3984572436,0.17916216216,0.104,ChesMMAP_Survey,VIMS,Jul-Nov
125,CB,Black_seabass,2004,0.00067792110346,0.00024337765051,,,,,7.3432107274,no./km2,2.4445506229,0.211,0.15871428571,ChesMMAP_Survey,VIMS,Jul-Nov
126,CB,Black_seabass,2005,0.00054668132521,0.00023540848917,,,,,6.1779910107,no./km2,2.6738084666,0.19407692308,0.13,ChesMMAP_Survey,VIMS,Jul-Nov
127,CB,Black_seabass,2006,0.0005778673939,0.00034174465197,,,,,9.0859718471,no./km2,4.1714973236,0.15542105263,0.075578947368,ChesMMAP_Survey,VIMS,Jul-Nov
128,CB,Black_seabass,2007,0.0012427512753,0.00042714636219,,,,,21.179201804,no./km2,7.266539981,0.15531818182,0.068818181818,ChesMMAP_Survey,VIMS,Jul-Nov
129,CB,Black_seabass,2008,0.0004466931123,0.00021770367634,,,,,6.7295979691,no./km2,2.8616871589,0.17246666667,0.093428571429,ChesMMAP_Survey,VIMS,Jul-Nov
130,CB,Black_seabass,2009,0.0012893393582,0.00036839835906,,,,,21.42164407,no./km2,6.1075682901,0.14445454545,0.060212121212,ChesMMAP_Survey,VIMS,Jul-Nov
131,CB,Black_seabass,2010,0.00070781147579,0.00026400711326,,,,,10.85190361,no./km2,3.6416895772,0.129,0.036466666667,ChesMMAP_Survey,VIMS,Jul-Nov
132,CB,Blackcheek_tonguefish,1988,,,,,,,1.116031888,no./5min_tow,,0.137,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
133,CB,Blackcheek_tonguefish,1989,,,,,,,0.85198360197,no./5min_tow,,0.1246,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
134,CB,Blackcheek_tonguefish,1990,,,,,,,1.5403491499,no./5min_tow,,0.1218,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
135,CB,Blackcheek_tonguefish,1991,,,,,,,0.84317243501,no./5min_tow,,0.1344,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
136,CB,Blackcheek_tonguefish,1992,,,,,,,0.71855718156,no./5min_tow,,0.1356,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
137,CB,Blackcheek_tonguefish,1993,,,,,,,0.23090658711,no./5min_tow,,0.1378,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
138,CB,Blackcheek_tonguefish,1994,,,,,,,0.25344075201,no./5min_tow,,0.1188,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
139,CB,Blackcheek_tonguefish,1995,,,,,,,0.060946371486,no./5min_tow,,0.1314,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
140,CB,Blackcheek_tonguefish,1996,,,,,,,0.25282414731,no./5min_tow,,0.1297,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
141,CB,Blackcheek_tonguefish,1997,,,,,,,0.28090905612,no./5min_tow,,0.1302,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
142,CB,Blackcheek_tonguefish,1998,,,,,,,1.0819697917,no./5min_tow,,0.1293,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
143,CB,Blackcheek_tonguefish,1999,,,,,,,1.0483815385,no./5min_tow,,0.1329,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
144,CB,Blackcheek_tonguefish,2000,,,,,,,0.24551236792,no./5min_tow,,0.1486,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
145,CB,Blackcheek_tonguefish,2001,,,,,,,0.97844100852,no./5min_tow,,0.1206,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
146,CB,Blackcheek_tonguefish,2002,,,,,,,0.4542932291,no./5min_tow,,0.1363,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
147,CB,Blackcheek_tonguefish,2003,,,,,,,0.10752227234,no./5min_tow,,0.128,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
148,CB,Blackcheek_tonguefish,2004,,,,,,,0.15125763326,no./5min_tow,,0.1376,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
149,CB,Blackcheek_tonguefish,2005,,,,,,,0.49535533733,no./5min_tow,,0.1286,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
150,CB,Blackcheek_tonguefish,2006,,,,,,,0.69913262754,no./5min_tow,,0.1322,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
151,CB,Blackcheek_tonguefish,2007,,,,,,,2.6016396226,no./5min_tow,,0.1226,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
152,CB,Blackcheek_tonguefish,2008,,,,,,,0.97680076052,no./5min_tow,,0.1313,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
153,CB,Blackcheek_tonguefish,2009,,,,,,,1.0583951725,no./5min_tow,,0.129,,VIMS_Juvenile_Trawl,VIMS,Aug-Oct
154,CB,Blue_catfish_age-1+,1988,,,,,,,0.02,no./5min_tow,,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
155,CB,Blue_catfish_age-1+,1989,,,,,,,0.1,no./5min_tow,,0.2601,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
156,CB,Blue_catfish_age-1+,1990,,,,,,,0.26,no./5min_tow,,0.2154,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
157,CB,Blue_catfish_age-1+,1991,,,,,,,0.85,no./5min_tow,,0.2503,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
158,CB,Blue_catfish_age-1+,1992,,,,,,,1.22,no./5min_tow,,0.2321,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
159,CB,Blue_catfish_age-1+,1993,,,,,,,0.47,no./5min_tow,,0.2241,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
160,CB,Blue_catfish_age-1+,1994,,,,,,,0.52,no./5min_tow,,0.2322,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
161,CB,Blue_catfish_age-1+,1995,,,,,,,0.48,no./5min_tow,,0.2383,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
162,CB,Blue_catfish_age-1+,1996,,,,,,,1.38,no./5min_tow,,0.2421,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
163,CB,Blue_catfish_age-1+,1997,,,,,,,3.85,no./5min_tow,,0.2241,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
164,CB,Blue_catfish_age-1+,1998,,,,,,,1.99,no./5min_tow,,0.2543,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
165,CB,Blue_catfish_age-1+,1999,,,,,,,1.06,no./5min_tow,,0.2747,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
166,CB,Blue_catfish_age-1+,2000,,,,,,,0.88,no./5min_tow,,0.276,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
167,CB,Blue_catfish_age-1+,2001,,,,,,,0.55,no./5min_tow,,0.3016,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
168,CB,Blue_catfish_age-1+,2002,,,,,,,0.96,no./5min_tow,,0.2838,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
169,CB,Blue_catfish_age-1+,2003,,,,,,,1.81,no./5min_tow,,0.2916,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
170,CB,Blue_catfish_age-1+,2004,,,,,,,2.62,no./5min_tow,,0.269,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
171,CB,Blue_catfish_age-1+,2005,,,,,,,5.96,no./5min_tow,,0.279,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
172,CB,Blue_catfish_age-1+,2006,,,,,,,4.43,no./5min_tow,,0.2801,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
173,CB,Blue_catfish_age-1+,2007,,,,,,,4.79,no./5min_tow,,0.2978,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
174,CB,Blue_catfish_age-1+,2008,,,,,,,2.89,no./5min_tow,,0.3131,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
175,CB,Blue_catfish_age-1+,2009,,,,,,,3.03,no./5min_tow,,0.295,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
176,CB,Blue_catfish_YOY,1988,,,,,,,0.0,no./5min_tow,,,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
177,CB,Blue_catfish_YOY,1989,,,,,,,0.43,no./5min_tow,,0.1222,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
178,CB,Blue_catfish_YOY,1990,,,,,,,0.14,no./5min_tow,,0.1306,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
179,CB,Blue_catfish_YOY,1991,,,,,,,0.39,no./5min_tow,,0.1545,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
180,CB,Blue_catfish_YOY,1992,,,,,,,0.36,no./5min_tow,,0.1412,,VIMS_Juvenile_Trawl,VIMS,Jan-Apr
